SpeedDeltaInterval(start: 8000, end: 20000, value: 15.76923076923077, value description: avg, key: 167)
SpeedDeltaInterval(start: 56000, end: 59000, value: 30.5, value description: avg, key: 1162)
SpeedDeltaInterval(start: 56000, end: 58000, value: 29.0, value description: avg, key: 644)
SpeedDeltaInterval(start: 56000, end: 58000, value: 20.5, value description: avg, key: 1246)
SpeedDeltaInterval(start: 59000, end: 60000, value: 25.5, value description: avg, key: 667)
SpeedDeltaInterval(start: 59000, end: 60000, value: 29.0, value description: avg, key: 684)
SpeedDeltaInterval(start: 62000, end: 63000, value: 25.5, value description: avg, key: 652)
SpeedDeltaInterval(start: 59000, end: 60000, value: 27.5, value description: avg, key: 723)
SpeedDeltaInterval(start: 56000, end: 59000, value: 18.333333333333332, value description: avg, key: 1319)
SpeedDeltaInterval(start: 49000, end: 58000, value: 22.75, value description: avg, key: 700)
SpeedDeltaInterval(start: 58000, end: 59000, value: 30.0, value description: avg, key: 700)
SpeedDeltaInterval(start: 46000, end: 56000, value: 21.22222222222222, value description: avg, key: 712)
SpeedDeltaInterval(start: 62000, end: 63000, value: 28.5, value description: avg, key: 795)
SpeedDeltaInterval(start: 56000, end: 59000, value: 31.0, value description: avg, key: 770)
SpeedDeltaInterval(start: 57000, end: 59000, value: 18.333333333333332, value description: avg, key: 742)
SpeedDeltaInterval(start: 56000, end: 58000, value: 30.5, value description: avg, key: 761)
SpeedDeltaInterval(start: 59000, end: 60000, value: 28.5, value description: avg, key: 749)
SpeedDeltaInterval(start: 58000, end: 59000, value: 30.5, value description: avg, key: 784)
SpeedDeltaInterval(start: 60000, end: 61000, value: 25.5, value description: avg, key: 1372)
SpeedDeltaInterval(start: 60000, end: 61000, value: 29.5, value description: avg, key: 782)
SpeedDeltaInterval(start: 56000, end: 58000, value: 32.0, value description: avg, key: 774)
SpeedDeltaInterval(start: 60000, end: 61000, value: 28.5, value description: avg, key: 773)
SpeedDeltaInterval(start: 47000, end: 58000, value: 19.88888888888889, value description: avg, key: 764)
SpeedDeltaInterval(start: 61000, end: 62000, value: 31.5, value description: avg, key: 779)
SpeedDeltaInterval(start: 62000, end: 63000, value: 35.5, value description: avg, key: 859)
SpeedDeltaInterval(start: 60000, end: 61000, value: 35.0, value description: avg, key: 768)
SpeedDeltaInterval(start: 61000, end: 62000, value: 35.0, value description: avg, key: 768)
SpeedDeltaInterval(start: 59000, end: 60000, value: 30.5, value description: avg, key: 812)
SpeedDeltaInterval(start: 56000, end: 62000, value: 27.5, value description: avg, key: 785)
SpeedDeltaInterval(start: 61000, end: 62000, value: 31.0, value description: avg, key: 798)
SpeedDeltaInterval(start: 59000, end: 60000, value: 37.0, value description: avg, key: 852)
SpeedDeltaInterval(start: 62000, end: 63000, value: 30.5, value description: avg, key: 807)
SpeedDeltaInterval(start: 16000, end: 59000, value: 19.37837837837838, value description: avg, key: 434)
SpeedDeltaInterval(start: 59000, end: 61000, value: 30.333333333333332, value description: avg, key: 434)
SpeedDeltaInterval(start: 37000, end: 63000, value: 24.208333333333332, value description: avg, key: 834)
SpeedDeltaInterval(start: 62000, end: 63000, value: 29.5, value description: avg, key: 845)
SpeedDeltaInterval(start: 56000, end: 59000, value: 33.0, value description: avg, key: 846)
SpeedDeltaInterval(start: 59000, end: 60000, value: 32.5, value description: avg, key: 862)
SpeedDeltaInterval(start: 52000, end: 62000, value: 27.2, value description: avg, key: 438)
SpeedDeltaInterval(start: 61000, end: 62000, value: 31.5, value description: avg, key: 871)
SpeedDeltaInterval(start: 61000, end: 62000, value: 31.5, value description: avg, key: 878)
SpeedDeltaInterval(start: 60000, end: 61000, value: 33.0, value description: avg, key: 886)
SpeedDeltaInterval(start: 60000, end: 61000, value: 34.5, value description: avg, key: 911)
SpeedDeltaInterval(start: 58000, end: 60000, value: 17.0, value description: avg, key: 913)
SpeedDeltaInterval(start: 40000, end: 63000, value: 18.916666666666668, value description: avg, key: 968)
SpeedDeltaInterval(start: 53000, end: 58000, value: 34.6, value description: avg, key: 583)
SpeedDeltaInterval(start: 61000, end: 63000, value: 22.0, value description: avg, key: 583)
SpeedDeltaInterval(start: 57000, end: 58000, value: 28.0, value description: avg, key: 559)
SpeedDeltaInterval(start: 60000, end: 61000, value: 28.5, value description: avg, key: 622)
SpeedDeltaInterval(start: 28000, end: 59000, value: 20.333333333333332, value description: avg, key: 569)
SpeedDeltaInterval(start: 62000, end: 63000, value: 20.5, value description: avg, key: 555)
SpeedDeltaInterval(start: 56000, end: 59000, value: 27.5, value description: avg, key: 1025)
SpeedDeltaInterval(start: 56000, end: 58000, value: 28.5, value description: avg, key: 568)
SpeedDeltaInterval(start: 55000, end: 63000, value: 34.125, value description: avg, key: 561)
SpeedDeltaInterval(start: 57000, end: 63000, value: 30.142857142857142, value description: avg, key: 636)
SpeedDeltaInterval(start: 63000, end: 64000, value: 29.0, value description: avg, key: 645)
SpeedDeltaInterval(start: 64000, end: 65000, value: 30.0, value description: avg, key: 666)
SpeedDeltaInterval(start: 62000, end: 64000, value: 27.666666666666668, value description: avg, key: 1269)
SpeedDeltaInterval(start: 63000, end: 64000, value: 30.5, value description: avg, key: 733)
SpeedDeltaInterval(start: 63000, end: 64000, value: 25.0, value description: avg, key: 729)
SpeedDeltaInterval(start: 62000, end: 64000, value: 20.666666666666668, value description: avg, key: 1446)
SpeedDeltaInterval(start: 64000, end: 65000, value: 19.5, value description: avg, key: 1446)
SpeedDeltaInterval(start: 58000, end: 65000, value: 29.875, value description: avg, key: 797)
SpeedDeltaInterval(start: 63000, end: 64000, value: 35.5, value description: avg, key: 859)
SpeedDeltaInterval(start: 62000, end: 64000, value: 28.333333333333332, value description: avg, key: 785)
SpeedDeltaInterval(start: 58000, end: 64000, value: 27.857142857142858, value description: avg, key: 824)
SpeedDeltaInterval(start: 63000, end: 64000, value: 31.5, value description: avg, key: 799)
SpeedDeltaInterval(start: 53000, end: 64000, value: 19.454545454545453, value description: avg, key: 840)
SpeedDeltaInterval(start: 47000, end: 64000, value: 17.333333333333332, value description: avg, key: 829)
SpeedDeltaInterval(start: 63000, end: 64000, value: 29.5, value description: avg, key: 867)
SpeedDeltaInterval(start: 63000, end: 64000, value: 31.0, value description: avg, key: 881)
SpeedDeltaInterval(start: 63000, end: 64000, value: 32.5, value description: avg, key: 902)
SpeedDeltaInterval(start: 64000, end: 65000, value: 34.5, value description: avg, key: 945)
SpeedDeltaInterval(start: 64000, end: 65000, value: 32.5, value description: avg, key: 962)
SpeedDeltaInterval(start: 63000, end: 64000, value: 37.5, value description: avg, key: 972)
SpeedDeltaInterval(start: 64000, end: 65000, value: 38.5, value description: avg, key: 972)
SpeedDeltaInterval(start: 63000, end: 64000, value: 35.5, value description: avg, key: 963)
SpeedDeltaInterval(start: 56000, end: 64000, value: 24.125, value description: avg, key: 570)
SpeedDeltaInterval(start: 67000, end: 68000, value: 25.0, value description: avg, key: 752)
SpeedDeltaInterval(start: 27000, end: 68000, value: 19.0, value description: avg, key: 726)
SpeedDeltaInterval(start: 68000, end: 69000, value: 37.0, value description: avg, key: 1129)
SpeedDeltaInterval(start: 52000, end: 68000, value: 17.866666666666667, value description: avg, key: 1160)
SpeedDeltaInterval(start: 55000, end: 65000, value: 16.1, value description: avg, key: 1164)
SpeedDeltaInterval(start: 63000, end: 69000, value: 27.0, value description: avg, key: 1162)
SpeedDeltaInterval(start: 63000, end: 65000, value: 22.0, value description: avg, key: 1222)
SpeedDeltaInterval(start: 69000, end: 70000, value: 38.0, value description: avg, key: 1124)
SpeedDeltaInterval(start: 56000, end: 70000, value: 20.76923076923077, value description: avg, key: 1287)
SpeedDeltaInterval(start: 65000, end: 67000, value: 24.0, value description: avg, key: 686)
SpeedDeltaInterval(start: 59000, end: 65000, value: 29.285714285714285, value description: avg, key: 700)
SpeedDeltaInterval(start: 65000, end: 66000, value: 23.5, value description: avg, key: 1366)
SpeedDeltaInterval(start: 66000, end: 67000, value: 29.5, value description: avg, key: 742)
SpeedDeltaInterval(start: 65000, end: 68000, value: 21.666666666666668, value description: avg, key: 1428)
SpeedDeltaInterval(start: 31000, end: 70000, value: 20.324324324324323, value description: avg, key: 787)
SpeedDeltaInterval(start: 68000, end: 69000, value: 30.5, value description: avg, key: 800)
SpeedDeltaInterval(start: 63000, end: 65000, value: 27.333333333333332, value description: avg, key: 807)
SpeedDeltaInterval(start: 68000, end: 69000, value: 30.5, value description: avg, key: 876)
SpeedDeltaInterval(start: 66000, end: 67000, value: 28.5, value description: avg, key: 870)
SpeedDeltaInterval(start: 65000, end: 66000, value: 32.0, value description: avg, key: 947)
SpeedDeltaInterval(start: 68000, end: 69000, value: 25.5, value description: avg, key: 906)
SpeedDeltaInterval(start: 69000, end: 70000, value: 29.0, value description: avg, key: 959)
SpeedDeltaInterval(start: 39000, end: 70000, value: 23.464285714285715, value description: avg, key: 943)
SpeedDeltaInterval(start: 69000, end: 70000, value: 28.5, value description: avg, key: 933)
SpeedDeltaInterval(start: 65000, end: 67000, value: 31.5, value description: avg, key: 984)
SpeedDeltaInterval(start: 67000, end: 68000, value: 30.5, value description: avg, key: 985)
SpeedDeltaInterval(start: 66000, end: 67000, value: 35.0, value description: avg, key: 1041)
SpeedDeltaInterval(start: 69000, end: 70000, value: 29.5, value description: avg, key: 1001)
SpeedDeltaInterval(start: 68000, end: 69000, value: 31.5, value description: avg, key: 1025)
SpeedDeltaInterval(start: 61000, end: 69000, value: 21.75, value description: avg, key: 1028)
SpeedDeltaInterval(start: 69000, end: 70000, value: 28.0, value description: avg, key: 1028)
SpeedDeltaInterval(start: 67000, end: 68000, value: 31.5, value description: avg, key: 1008)
SpeedDeltaInterval(start: 65000, end: 67000, value: 34.5, value description: avg, key: 1056)
SpeedDeltaInterval(start: 68000, end: 69000, value: 31.5, value description: avg, key: 1036)
SpeedDeltaInterval(start: 69000, end: 70000, value: 31.5, value description: avg, key: 1062)
SpeedDeltaInterval(start: 67000, end: 68000, value: 36.5, value description: avg, key: 1090)
SpeedDeltaInterval(start: 67000, end: 68000, value: 34.5, value description: avg, key: 1072)
SpeedDeltaInterval(start: 67000, end: 68000, value: 37.0, value description: avg, key: 1065)
SpeedDeltaInterval(start: 67000, end: 68000, value: 34.5, value description: avg, key: 1064)
SpeedDeltaInterval(start: 59000, end: 67000, value: 23.555555555555557, value description: avg, key: 610)
SpeedDeltaInterval(start: 65000, end: 67000, value: 24.5, value description: avg, key: 1086)
SpeedDeltaInterval(start: 68000, end: 71000, value: 23.75, value description: avg, key: 752)
SpeedDeltaInterval(start: 65000, end: 70000, value: 20.8, value description: avg, key: 1171)
SpeedDeltaInterval(start: 70000, end: 71000, value: 39.5, value description: avg, key: 1124)
SpeedDeltaInterval(start: 64000, end: 71000, value: 27.285714285714285, value description: avg, key: 824)
SpeedDeltaInterval(start: 36000, end: 71000, value: 20.3125, value description: avg, key: 860)
SpeedDeltaInterval(start: 68000, end: 71000, value: 19.5, value description: avg, key: 1613)
SpeedDeltaInterval(start: 71000, end: 72000, value: 27.5, value description: avg, key: 955)
SpeedDeltaInterval(start: 70000, end: 71000, value: 29.5, value description: avg, key: 943)
SpeedDeltaInterval(start: 70000, end: 71000, value: 37.0, value description: avg, key: 1002)
SpeedDeltaInterval(start: 70000, end: 71000, value: 30.5, value description: avg, key: 1021)
SpeedDeltaInterval(start: 69000, end: 70000, value: 31.5, value description: avg, key: 1009)
SpeedDeltaInterval(start: 70000, end: 71000, value: 31.0, value description: avg, key: 1045)
SpeedDeltaInterval(start: 70000, end: 71000, value: 30.5, value description: avg, key: 1037)
SpeedDeltaInterval(start: 74000, end: 75000, value: 34.5, value description: avg, key: 1165)
SpeedDeltaInterval(start: 72000, end: 73000, value: 34.5, value description: avg, key: 1156)
SpeedDeltaInterval(start: 75000, end: 76000, value: 31.5, value description: avg, key: 1182)
SpeedDeltaInterval(start: 75000, end: 76000, value: 30.5, value description: avg, key: 1150)
SpeedDeltaInterval(start: 75000, end: 76000, value: 30.5, value description: avg, key: 1151)
SpeedDeltaInterval(start: 72000, end: 75000, value: 16.0, value description: avg, key: 1145)
SpeedDeltaInterval(start: 72000, end: 74000, value: 25.0, value description: avg, key: 1216)
SpeedDeltaInterval(start: 74000, end: 75000, value: 20.5, value description: avg, key: 1172)
SpeedDeltaInterval(start: 74000, end: 75000, value: 33.0, value description: avg, key: 1202)
SpeedDeltaInterval(start: 75000, end: 76000, value: 32.5, value description: avg, key: 1209)
SpeedDeltaInterval(start: 72000, end: 74000, value: 37.0, value description: avg, key: 1235)
SpeedDeltaInterval(start: 72000, end: 74000, value: 19.5, value description: avg, key: 1266)
SpeedDeltaInterval(start: 67000, end: 72000, value: 28.833333333333332, value description: avg, key: 718)
SpeedDeltaInterval(start: 65000, end: 72000, value: 66.85714285714286, value description: avg, key: 751)
SpeedDeltaInterval(start: 71000, end: 72000, value: 19.5, value description: avg, key: 1428)
SpeedDeltaInterval(start: 71000, end: 72000, value: 30.5, value description: avg, key: 786)
SpeedDeltaInterval(start: 72000, end: 75000, value: 29.0, value description: avg, key: 786)
SpeedDeltaInterval(start: 70000, end: 74000, value: 27.666666666666668, value description: avg, key: 1468)
SpeedDeltaInterval(start: 30000, end: 72000, value: 19.685714285714287, value description: avg, key: 750)
SpeedDeltaInterval(start: 71000, end: 72000, value: 24.5, value description: avg, key: 766)
SpeedDeltaInterval(start: 75000, end: 76000, value: 18.5, value description: avg, key: 1619)
SpeedDeltaInterval(start: 72000, end: 74000, value: 19.5, value description: avg, key: 1509)
SpeedDeltaInterval(start: 70000, end: 74000, value: 37.0, value description: avg, key: 833)
SpeedDeltaInterval(start: 69000, end: 72000, value: 29.25, value description: avg, key: 800)
SpeedDeltaInterval(start: 65000, end: 72000, value: 20.0, value description: avg, key: 1520)
SpeedDeltaInterval(start: 72000, end: 74000, value: 20.5, value description: avg, key: 1520)
SpeedDeltaInterval(start: 69000, end: 74000, value: 23.5, value description: avg, key: 1639)
SpeedDeltaInterval(start: 71000, end: 72000, value: 16.5, value description: avg, key: 1647)
SpeedDeltaInterval(start: 72000, end: 76000, value: 24.75, value description: avg, key: 1709)
SpeedDeltaInterval(start: 74000, end: 75000, value: 31.5, value description: avg, key: 1806)
SpeedDeltaInterval(start: 72000, end: 74000, value: 29.0, value description: avg, key: 961)
SpeedDeltaInterval(start: 74000, end: 75000, value: 30.0, value description: avg, key: 936)
SpeedDeltaInterval(start: 74000, end: 75000, value: 30.5, value description: avg, key: 949)
SpeedDeltaInterval(start: 75000, end: 76000, value: 34.5, value description: avg, key: 968)
SpeedDeltaInterval(start: 71000, end: 74000, value: 30.666666666666668, value description: avg, key: 943)
SpeedDeltaInterval(start: 38000, end: 72000, value: 18.666666666666668, value description: avg, key: 944)
SpeedDeltaInterval(start: 75000, end: 76000, value: 28.5, value description: avg, key: 978)
SpeedDeltaInterval(start: 72000, end: 74000, value: 30.5, value description: avg, key: 1117)
SpeedDeltaInterval(start: 72000, end: 74000, value: 40.5, value description: avg, key: 1002)
SpeedDeltaInterval(start: 72000, end: 74000, value: 31.5, value description: avg, key: 1010)
SpeedDeltaInterval(start: 74000, end: 75000, value: 27.5, value description: avg, key: 1023)
SpeedDeltaInterval(start: 75000, end: 76000, value: 28.5, value description: avg, key: 1107)
SpeedDeltaInterval(start: 72000, end: 74000, value: 28.5, value description: avg, key: 1059)
SpeedDeltaInterval(start: 75000, end: 76000, value: 31.5, value description: avg, key: 1116)
SpeedDeltaInterval(start: 74000, end: 75000, value: 26.5, value description: avg, key: 1086)
SpeedDeltaInterval(start: 56000, end: 76000, value: 23.38888888888889, value description: avg, key: 1097)
SpeedDeltaInterval(start: 75000, end: 76000, value: 32.0, value description: avg, key: 1053)
SpeedDeltaInterval(start: 72000, end: 77000, value: 31.4, value description: avg, key: 837)
SpeedDeltaInterval(start: 76000, end: 77000, value: 30.5, value description: avg, key: 913)
SpeedDeltaInterval(start: 75000, end: 77000, value: 28.666666666666668, value description: avg, key: 949)
SpeedDeltaInterval(start: 76000, end: 77000, value: 33.5, value description: avg, key: 1053)
SpeedDeltaInterval(start: 80000, end: 81000, value: 27.5, value description: avg, key: 1113)
SpeedDeltaInterval(start: 72000, end: 77000, value: 20.0, value description: avg, key: 1160)
SpeedDeltaInterval(start: 80000, end: 82000, value: 19.0, value description: avg, key: 1160)
SpeedDeltaInterval(start: 77000, end: 80000, value: 29.5, value description: avg, key: 1122)
SpeedDeltaInterval(start: 77000, end: 80000, value: 30.5, value description: avg, key: 1237)
SpeedDeltaInterval(start: 78000, end: 79000, value: 34.5, value description: avg, key: 1181)
SpeedDeltaInterval(start: 75000, end: 80000, value: 19.6, value description: avg, key: 1145)
SpeedDeltaInterval(start: 80000, end: 81000, value: 18.5, value description: avg, key: 1145)
SpeedDeltaInterval(start: 74000, end: 77000, value: 18.25, value description: avg, key: 1164)
SpeedDeltaInterval(start: 77000, end: 81000, value: 21.0, value description: avg, key: 1164)
SpeedDeltaInterval(start: 76000, end: 77000, value: 18.5, value description: avg, key: 1172)
SpeedDeltaInterval(start: 81000, end: 82000, value: 30.0, value description: avg, key: 1171)
SpeedDeltaInterval(start: 77000, end: 80000, value: 36.5, value description: avg, key: 1351)
SpeedDeltaInterval(start: 74000, end: 77000, value: 19.5, value description: avg, key: 1246)
SpeedDeltaInterval(start: 77000, end: 82000, value: 20.5, value description: avg, key: 1246)
SpeedDeltaInterval(start: 81000, end: 82000, value: 31.5, value description: avg, key: 1250)
SpeedDeltaInterval(start: 77000, end: 79000, value: 30.5, value description: avg, key: 1230)
SpeedDeltaInterval(start: 77000, end: 80000, value: 30.5, value description: avg, key: 1221)
SpeedDeltaInterval(start: 77000, end: 80000, value: 29.5, value description: avg, key: 1220)
SpeedDeltaInterval(start: 80000, end: 81000, value: 29.5, value description: avg, key: 1231)
SpeedDeltaInterval(start: 81000, end: 82000, value: 37.0, value description: avg, key: 1265)
SpeedDeltaInterval(start: 80000, end: 81000, value: 31.5, value description: avg, key: 1290)
SpeedDeltaInterval(start: 74000, end: 81000, value: 20.166666666666668, value description: avg, key: 1287)
SpeedDeltaInterval(start: 81000, end: 82000, value: 29.5, value description: avg, key: 1267)
SpeedDeltaInterval(start: 77000, end: 80000, value: 34.0, value description: avg, key: 1288)
SpeedDeltaInterval(start: 80000, end: 81000, value: 31.5, value description: avg, key: 1276)
SpeedDeltaInterval(start: 80000, end: 81000, value: 34.0, value description: avg, key: 1262)
SpeedDeltaInterval(start: 56000, end: 77000, value: 23.526315789473685, value description: avg, key: 1299)
SpeedDeltaInterval(start: 77000, end: 80000, value: 32.5, value description: avg, key: 1275)
SpeedDeltaInterval(start: 80000, end: 81000, value: 32.0, value description: avg, key: 1275)
SpeedDeltaInterval(start: 80000, end: 81000, value: 37.0, value description: avg, key: 1364)
SpeedDeltaInterval(start: 77000, end: 81000, value: 24.0, value description: avg, key: 1312)
SpeedDeltaInterval(start: 81000, end: 82000, value: 31.5, value description: avg, key: 1317)
SpeedDeltaInterval(start: 80000, end: 81000, value: 34.5, value description: avg, key: 1348)
SpeedDeltaInterval(start: 81000, end: 82000, value: 23.5, value description: avg, key: 1366)
SpeedDeltaInterval(start: 77000, end: 79000, value: 22.0, value description: avg, key: 1369)
SpeedDeltaInterval(start: 79000, end: 80000, value: 19.5, value description: avg, key: 1467)
SpeedDeltaInterval(start: 61000, end: 77000, value: 18.0625, value description: avg, key: 1430)
SpeedDeltaInterval(start: 74000, end: 80000, value: 32.0, value description: avg, key: 833)
SpeedDeltaInterval(start: 77000, end: 82000, value: 22.6, value description: avg, key: 1562)
SpeedDeltaInterval(start: 77000, end: 81000, value: 20.666666666666668, value description: avg, key: 1563)
SpeedDeltaInterval(start: 76000, end: 77000, value: 25.5, value description: avg, key: 1584)
SpeedDeltaInterval(start: 76000, end: 77000, value: 24.5, value description: avg, key: 1709)
SpeedDeltaInterval(start: 77000, end: 82000, value: 22.25, value description: avg, key: 1695)
SpeedDeltaInterval(start: 81000, end: 82000, value: 22.5, value description: avg, key: 922)
SpeedDeltaInterval(start: 77000, end: 82000, value: 26.75, value description: avg, key: 1806)
SpeedDeltaInterval(start: 75000, end: 82000, value: 8.666666666666666, value description: avg, key: 1775)
SpeedDeltaInterval(start: 77000, end: 81000, value: 29.75, value description: avg, key: 913)
SpeedDeltaInterval(start: 80000, end: 81000, value: 24.5, value description: avg, key: 1855)
SpeedDeltaInterval(start: 77000, end: 82000, value: 24.5, value description: avg, key: 1834)
SpeedDeltaInterval(start: 56000, end: 80000, value: 18.5, value description: avg, key: 1084)
SpeedDeltaInterval(start: 81000, end: 82000, value: 23.0, value description: avg, key: 1014)
SpeedDeltaInterval(start: 82000, end: 83000, value: 33.0, value description: avg, key: 1244)
SpeedDeltaInterval(start: 82000, end: 83000, value: 26.5, value description: avg, key: 1159)
SpeedDeltaInterval(start: 82000, end: 83000, value: 28.5, value description: avg, key: 1132)
SpeedDeltaInterval(start: 82000, end: 83000, value: 29.5, value description: avg, key: 1267)
SpeedDeltaInterval(start: 82000, end: 83000, value: 37.0, value description: avg, key: 1269)
SpeedDeltaInterval(start: 82000, end: 83000, value: 27.5, value description: avg, key: 1312)
SpeedDeltaInterval(start: 83000, end: 84000, value: 30.5, value description: avg, key: 1334)
SpeedDeltaInterval(start: 77000, end: 83000, value: 55.6, value description: avg, key: 425)
SpeedDeltaInterval(start: 82000, end: 83000, value: 32.0, value description: avg, key: 1329)
SpeedDeltaInterval(start: 82000, end: 83000, value: 33.5, value description: avg, key: 1320)
SpeedDeltaInterval(start: 82000, end: 83000, value: 20.5, value description: avg, key: 1509)
SpeedDeltaInterval(start: 82000, end: 83000, value: 23.5, value description: avg, key: 1639)
SpeedDeltaInterval(start: 77000, end: 83000, value: 22.8, value description: avg, key: 1754)
SpeedDeltaInterval(start: 82000, end: 83000, value: 25.5, value description: avg, key: 1855)
SpeedDeltaInterval(start: 82000, end: 83000, value: 29.0, value description: avg, key: 1095)
SpeedDeltaInterval(start: 84000, end: 86000, value: 22.5, value description: avg, key: 1373)
SpeedDeltaInterval(start: 86000, end: 87000, value: 32.0, value description: avg, key: 1349)
SpeedDeltaInterval(start: 83000, end: 84000, value: 28.5, value description: avg, key: 1203)
SpeedDeltaInterval(start: 87000, end: 88000, value: 27.5, value description: avg, key: 1161)
SpeedDeltaInterval(start: 83000, end: 84000, value: 28.0, value description: avg, key: 1170)
SpeedDeltaInterval(start: 47000, end: 87000, value: 19.363636363636363, value description: avg, key: 1176)
SpeedDeltaInterval(start: 81000, end: 84000, value: 18.0, value description: avg, key: 1164)
SpeedDeltaInterval(start: 82000, end: 84000, value: 29.666666666666668, value description: avg, key: 1171)
SpeedDeltaInterval(start: 80000, end: 86000, value: 36.166666666666664, value description: avg, key: 1351)
SpeedDeltaInterval(start: 82000, end: 84000, value: 16.666666666666668, value description: avg, key: 1246)
SpeedDeltaInterval(start: 84000, end: 86000, value: 25.5, value description: avg, key: 1213)
SpeedDeltaInterval(start: 84000, end: 86000, value: 17.5, value description: avg, key: 1287)
SpeedDeltaInterval(start: 83000, end: 84000, value: 36.5, value description: avg, key: 1269)
SpeedDeltaInterval(start: 83000, end: 84000, value: 18.5, value description: avg, key: 1289)
SpeedDeltaInterval(start: 84000, end: 87000, value: 17.0, value description: avg, key: 1289)
SpeedDeltaInterval(start: 82000, end: 84000, value: 29.333333333333332, value description: avg, key: 1279)
SpeedDeltaInterval(start: 84000, end: 88000, value: 53.75, value description: avg, key: 391)
SpeedDeltaInterval(start: 84000, end: 86000, value: 28.5, value description: avg, key: 1314)
SpeedDeltaInterval(start: 86000, end: 87000, value: 30.0, value description: avg, key: 1340)
SpeedDeltaInterval(start: 86000, end: 87000, value: 30.5, value description: avg, key: 1386)
SpeedDeltaInterval(start: 84000, end: 87000, value: 20.666666666666668, value description: avg, key: 1372)
SpeedDeltaInterval(start: 77000, end: 84000, value: 25.333333333333332, value description: avg, key: 1430)
SpeedDeltaInterval(start: 84000, end: 86000, value: 19.5, value description: avg, key: 1428)
SpeedDeltaInterval(start: 84000, end: 86000, value: 33.0, value description: avg, key: 1436)
SpeedDeltaInterval(start: 84000, end: 86000, value: 32.5, value description: avg, key: 1422)
SpeedDeltaInterval(start: 86000, end: 87000, value: 34.5, value description: avg, key: 1454)
SpeedDeltaInterval(start: 86000, end: 87000, value: 36.5, value description: avg, key: 1512)
SpeedDeltaInterval(start: 87000, end: 88000, value: 26.5, value description: avg, key: 1540)
SpeedDeltaInterval(start: 82000, end: 84000, value: 17.0, value description: avg, key: 1768)
SpeedDeltaInterval(start: 84000, end: 87000, value: 18.0, value description: avg, key: 1768)
SpeedDeltaInterval(start: 76000, end: 84000, value: 22.875, value description: avg, key: 968)
SpeedDeltaInterval(start: 84000, end: 86000, value: 17.5, value description: avg, key: 1897)
SpeedDeltaInterval(start: 43000, end: 86000, value: 19.146341463414632, value description: avg, key: 1038)
SpeedDeltaInterval(start: 84000, end: 86000, value: 51.5, value description: avg, key: 567)
SpeedDeltaInterval(start: 83000, end: 84000, value: 26.0, value description: avg, key: 1034)
SpeedDeltaInterval(start: 77000, end: 86000, value: 60.714285714285715, value description: avg, key: 564)
SpeedDeltaInterval(start: 77000, end: 86000, value: 60.0, value description: avg, key: 610)
SpeedDeltaInterval(start: 84000, end: 86000, value: 22.5, value description: avg, key: 1108)
SpeedDeltaInterval(start: 88000, end: 89000, value: 25.5, value description: avg, key: 1153)
SpeedDeltaInterval(start: 88000, end: 89000, value: 27.5, value description: avg, key: 1352)
SpeedDeltaInterval(start: 88000, end: 89000, value: 29.5, value description: avg, key: 1406)
SpeedDeltaInterval(start: 76000, end: 89000, value: 15.909090909090908, value description: avg, key: 1545)
SpeedDeltaInterval(start: 83000, end: 88000, value: 26.6, value description: avg, key: 1722)
SpeedDeltaInterval(start: 72000, end: 88000, value: 50.46153846153846, value description: avg, key: 1028)
SpeedDeltaInterval(start: 88000, end: 90000, value: 25.0, value description: avg, key: 1979)
SpeedDeltaInterval(start: 86000, end: 90000, value: 20.4, value description: avg, key: 1987)
SpeedDeltaInterval(start: 84000, end: 91000, value: 19.4, value description: avg, key: 1890)
SpeedDeltaInterval(start: 89000, end: 91000, value: 19.333333333333332, value description: avg, key: 1709)
SpeedDeltaInterval(start: 88000, end: 91000, value: 37.5, value description: avg, key: 1604)
SpeedDeltaInterval(start: 91000, end: 92000, value: 34.5, value description: avg, key: 1592)
SpeedDeltaInterval(start: 90000, end: 91000, value: 32.5, value description: avg, key: 1543)
SpeedDeltaInterval(start: 90000, end: 91000, value: 28.5, value description: avg, key: 1439)
SpeedDeltaInterval(start: 90000, end: 91000, value: 35.5, value description: avg, key: 1426)
SpeedDeltaInterval(start: 88000, end: 90000, value: 28.5, value description: avg, key: 1415)
SpeedDeltaInterval(start: 89000, end: 90000, value: 28.5, value description: avg, key: 1331)
SpeedDeltaInterval(start: 89000, end: 90000, value: 32.5, value description: avg, key: 1328)
SpeedDeltaInterval(start: 84000, end: 90000, value: 68.33333333333333, value description: avg, key: 752)
SpeedDeltaInterval(start: 70000, end: 88000, value: 21.928571428571427, value description: avg, key: 1585)
SpeedDeltaInterval(start: 88000, end: 91000, value: 32.5, value description: avg, key: 1537)
SpeedDeltaInterval(start: 87000, end: 91000, value: 34.6, value description: avg, key: 1512)
SpeedDeltaInterval(start: 65000, end: 88000, value: 20.77777777777778, value description: avg, key: 1362)
SpeedDeltaInterval(start: 46000, end: 88000, value: 66.34285714285714, value description: avg, key: 330)
SpeedDeltaInterval(start: 90000, end: 91000, value: 30.5, value description: avg, key: 1492)
SpeedDeltaInterval(start: 90000, end: 91000, value: 26.0, value description: avg, key: 1458)
SpeedDeltaInterval(start: 87000, end: 88000, value: 28.0, value description: avg, key: 1270)
SpeedDeltaInterval(start: 84000, end: 88000, value: 58.75, value description: avg, key: 1165)
